Churn_Probability,Risk_Tier,Actual_Churn,MonthlyCharges,tenure,Recommended_Action,Est_Revenue_At_Risk
0.46101728,Low risk,1,50.15,2,Monitor and include in next email campaign,601.8
0.45947805,Low risk,1,90.6,23,Monitor and include in next email campaign,1087.2
0.45652965,Low risk,1,50.6,5,Monitor and include in next email campaign,607.2
0.45630953,Low risk,1,98.75,47,Monitor and include in next email campaign,1185.0
0.4561166,Low risk,1,75.5,27,Monitor and include in next email campaign,906.0
0.455462,Low risk,0,49.8,17,Monitor and include in next email campaign,597.6
0.4552849,Low risk,1,48.75,13,Monitor and include in next email campaign,585.0
0.4550021,Low risk,0,29.9,3,Monitor and include in next email campaign,358.8
0.45461082,Low risk,0,80.15,22,Monitor and include in next email campaign,961.8
0.45284697,Low risk,1,74.4,32,Monitor and include in next email campaign,892.8
0.45241386,Low risk,0,83.15,35,Monitor and include in next email campaign,997.8
0.4517161,Low risk,1,85.8,20,Monitor and include in next email campaign,1029.6
0.45133686,Low risk,1,81.05,28,Monitor and include in next email campaign,972.6
0.4495923,Low risk,0,106.5,41,Monitor and include in next email campaign,1278.0
0.44936764,Low risk,1,90.7,18,Monitor and include in next email campaign,1088.4
0.4489435,Low risk,0,84.15,22,Monitor and include in next email campaign,1009.8
0.44831142,Low risk,0,86.05,21,Monitor and include in next email campaign,1032.6
0.44816417,Low risk,0,99.8,60,Monitor and include in next email campaign,1197.6
0.44542563,Low risk,0,79.3,29,Monitor and include in next email campaign,951.6
0.4438418,Low risk,1,29.95,1,Monitor and include in next email campaign,359.4
0.44345868,Low risk,0,100.55,29,Monitor and include in next email campaign,1206.6
0.44234157,Low risk,0,84.35,15,Monitor and include in next email campaign,1012.2
0.44096512,Low risk,0,55.0,57,Monitor and include in next email campaign,660.0
0.44048086,Low risk,0,94.65,67,Monitor and include in next email campaign,1135.8
0.43899885,Low risk,0,55.3,16,Monitor and include in next email campaign,663.6
0.4388168,Low risk,1,23.9,13,Monitor and include in next email campaign,286.8
0.4387465,Low risk,1,99.5,66,Monitor and include in next email campaign,1194.0
0.43754333,Low risk,1,41.6,11,Monitor and include in next email campaign,499.2
0.43559,Low risk,0,97.7,34,Monitor and include in next email campaign,1172.4
0.43473002,Low risk,1,90.85,36,Monitor and include in next email campaign,1090.2
0.43424475,Low risk,0,88.95,24,Monitor and include in next email campaign,1067.4
0.43275082,Low risk,0,43.95,1,Monitor and include in next email campaign,527.4
0.43201545,Low risk,1,96.2,32,Monitor and include in next email campaign,1154.4
0.43024534,Low risk,1,89.05,16,Monitor and include in next email campaign,1068.6
0.42916304,Low risk,0,84.25,23,Monitor and include in next email campaign,1011.0
0.42904395,Low risk,0,70.2,11,Monitor and include in next email campaign,842.4
0.42766255,Low risk,0,50.3,18,Monitor and include in next email campaign,603.6
0.42696235,Low risk,0,89.1,22,Monitor and include in next email campaign,1069.2
0.42599022,Low risk,0,49.8,1,Monitor and include in next email campaign,597.6
0.42568144,Low risk,0,44.3,59,Monitor and include in next email campaign,531.6
0.42444703,Low risk,1,49.9,3,Monitor and include in next email campaign,598.8
0.42373368,Low risk,0,25.0,3,Monitor and include in next email campaign,300.0
0.42304358,Low risk,0,86.1,32,Monitor and include in next email campaign,1033.2
0.420384,Low risk,0,19.55,1,Monitor and include in next email campaign,234.6
0.42026362,Low risk,0,83.85,31,Monitor and include in next email campaign,1006.2
0.41868547,Low risk,1,35.2,3,Monitor and include in next email campaign,422.4
0.41851002,Low risk,0,70.55,35,Monitor and include in next email campaign,846.6
0.41825256,Low risk,0,68.65,21,Monitor and include in next email campaign,823.8
0.41795298,Low risk,1,86.0,19,Monitor and include in next email campaign,1032.0
0.4174539,Low risk,0,48.75,1,Monitor and include in next email campaign,585.0
0.41744506,Low risk,0,53.8,5,Monitor and include in next email campaign,645.6
0.41712013,Low risk,0,57.2,4,Monitor and include in next email campaign,686.4
0.41670507,Low risk,1,29.95,9,Monitor and include in next email campaign,359.4
0.41499025,Low risk,1,89.25,22,Monitor and include in next email campaign,1071.0
0.41478136,Low risk,0,57.55,3,Monitor and include in next email campaign,690.6
0.41424495,Low risk,0,94.3,43,Monitor and include in next email campaign,1131.6
0.4133754,Low risk,0,108.2,20,Monitor and include in next email campaign,1298.4
0.41323632,Low risk,0,90.05,54,Monitor and include in next email campaign,1080.6
0.41291282,Low risk,0,49.15,13,Monitor and include in next email campaign,589.8
0.41281137,Low risk,0,66.85,7,Monitor and include in next email campaign,802.2
0.4120152,Low risk,0,103.75,40,Monitor and include in next email campaign,1245.0
0.40963817,Low risk,1,76.65,17,Monitor and include in next email campaign,919.8
0.4092922,Low risk,1,81.7,12,Monitor and include in next email campaign,980.4
0.40771076,Low risk,0,84.35,24,Monitor and include in next email campaign,1012.2
0.4076301,Low risk,1,91.15,31,Monitor and include in next email campaign,1093.8
0.40431494,Low risk,1,90.5,22,Monitor and include in next email campaign,1086.0
0.40429354,Low risk,1,80.6,33,Monitor and include in next email campaign,967.2
0.40423703,Low risk,0,19.95,1,Monitor and include in next email campaign,239.4
0.40194973,Low risk,0,74.0,55,Monitor and include in next email campaign,888.0
0.40174156,Low risk,0,92.4,26,Monitor and include in next email campaign,1108.8
0.40067735,Low risk,1,84.15,32,Monitor and include in next email campaign,1009.8
0.40048927,Low risk,1,20.2,1,Monitor and include in next email campaign,242.4
0.40048927,Low risk,1,20.2,1,Monitor and include in next email campaign,242.4
0.39948714,Low risk,0,104.75,56,Monitor and include in next email campaign,1257.0
0.39566493,Low risk,0,19.4,1,Monitor and include in next email campaign,232.8
0.39322355,Low risk,0,20.05,1,Monitor and include in next email campaign,240.6
0.39271966,Low risk,0,19.9,1,Monitor and include in next email campaign,238.8
0.39231813,Low risk,0,20.05,1,Monitor and include in next email campaign,240.6
0.39199415,Low risk,0,72.25,37,Monitor and include in next email campaign,867.0
0.3908437,Low risk,1,20.55,1,Monitor and include in next email campaign,246.6
0.3908437,Low risk,0,20.7,1,Monitor and include in next email campaign,248.4
0.3899583,Low risk,0,51.2,1,Monitor and include in next email campaign,614.4
0.3887343,Low risk,1,34.7,9,Monitor and include in next email campaign,416.4
0.38853073,Low risk,1,76.45,7,Monitor and include in next email campaign,917.4
0.38834268,Low risk,0,94.05,7,Monitor and include in next email campaign,1128.6
0.38832667,Low risk,1,19.3,1,Monitor and include in next email campaign,231.6
0.38820687,Low risk,0,85.65,32,Monitor and include in next email campaign,1027.8
0.38810518,Low risk,1,53.95,1,Monitor and include in next email campaign,647.4
0.3879975,Low risk,0,95.9,22,Monitor and include in next email campaign,1150.8
0.38656884,Low risk,1,80.85,17,Monitor and include in next email campaign,970.2
0.3863496,Low risk,1,33.9,10,Monitor and include in next email campaign,406.8
0.38513774,Low risk,0,73.1,55,Monitor and include in next email campaign,877.2
0.38385907,Low risk,0,50.35,6,Monitor and include in next email campaign,604.2
0.383837,Low risk,0,51.0,5,Monitor and include in next email campaign,612.0
0.3831191,Low risk,1,74.95,38,Monitor and include in next email campaign,899.4
0.3830165,Low risk,1,79.6,34,Monitor and include in next email campaign,955.2
0.3822415,Low risk,1,85.35,17,Monitor and include in next email campaign,1024.2
0.38038754,Low risk,0,91.15,37,Monitor and include in next email campaign,1093.8
0.38035908,Low risk,0,105.35,33,Monitor and include in next email campaign,1264.2
0.38017732,Low risk,1,30.5,6,Monitor and include in next email campaign,366.0
0.3781419,Low risk,1,99.15,61,Monitor and include in next email campaign,1189.8
0.3766438,Low risk,0,91.25,33,Monitor and include in next email campaign,1095.0
0.37562084,Low risk,0,20.6,1,Monitor and include in next email campaign,247.2
0.37562084,Low risk,0,20.8,1,Monitor and include in next email campaign,249.6
0.37455502,Low risk,0,34.65,23,Monitor and include in next email campaign,415.8
0.37300268,Low risk,0,103.95,50,Monitor and include in next email campaign,1247.4
0.3716806,Low risk,1,96.05,46,Monitor and include in next email campaign,1152.6
0.37030384,Low risk,1,44.65,1,Monitor and include in next email campaign,535.8
0.37025806,Low risk,0,99.9,61,Monitor and include in next email campaign,1198.8
0.37024325,Low risk,1,95.15,18,Monitor and include in next email campaign,1141.8
0.3687819,Low risk,1,80.35,32,Monitor and include in next email campaign,964.2
0.36517262,Low risk,0,19.45,1,Monitor and include in next email campaign,233.4
0.36418498,Low risk,1,86.2,15,Monitor and include in next email campaign,1034.4
0.36392412,Low risk,1,69.35,3,Monitor and include in next email campaign,832.2
0.3638183,Low risk,0,69.95,3,Monitor and include in next email campaign,839.4
0.36379611,Low risk,0,49.2,2,Monitor and include in next email campaign,590.4
0.3630141,Low risk,0,26.05,21,Monitor and include in next email campaign,312.6
0.36115047,Low risk,0,79.65,24,Monitor and include in next email campaign,955.8
0.36035565,Low risk,1,49.25,1,Monitor and include in next email campaign,591.0
0.35956004,Low risk,1,96.75,55,Monitor and include in next email campaign,1161.0
0.35865957,Low risk,0,94.2,29,Monitor and include in next email campaign,1130.4
0.35714114,Low risk,0,70.4,33,Monitor and include in next email campaign,844.8
0.35712865,Low risk,0,107.75,45,Monitor and include in next email campaign,1293.0
0.35671562,Low risk,0,80.7,20,Monitor and include in next email campaign,968.4
0.356689,Low risk,0,80.55,18,Monitor and include in next email campaign,966.6
0.35663527,Low risk,0,102.7,52,Monitor and include in next email campaign,1232.4
0.35637537,Low risk,0,43.75,9,Monitor and include in next email campaign,525.0
0.35620707,Low risk,0,98.85,51,Monitor and include in next email campaign,1186.2
0.35593495,Low risk,0,108.95,35,Monitor and include in next email campaign,1307.4
0.35587102,Low risk,0,106.05,70,Monitor and include in next email campaign,1272.6
0.35465243,Low risk,1,62.05,1,Monitor and include in next email campaign,744.6
0.35422656,Low risk,1,93.8,31,Monitor and include in next email campaign,1125.6
0.35314447,Low risk,1,72.15,10,Monitor and include in next email campaign,865.8
0.3521076,Low risk,0,55.2,4,Monitor and include in next email campaign,662.4
0.35200545,Low risk,0,89.85,57,Monitor and include in next email campaign,1078.2
0.35137817,Low risk,0,94.1,43,Monitor and include in next email campaign,1129.2
0.34952003,Low risk,0,99.0,60,Monitor and include in next email campaign,1188.0
0.3487141,Low risk,0,19.25,1,Monitor and include in next email campaign,231.0
0.34790492,Low risk,1,95.25,57,Monitor and include in next email campaign,1143.0
0.3464495,Low risk,0,88.4,25,Monitor and include in next email campaign,1060.8
0.3460651,Low risk,1,45.05,17,Monitor and include in next email campaign,540.6
0.34482807,Low risk,0,83.85,40,Monitor and include in next email campaign,1006.2
0.34429824,Low risk,0,29.1,24,Monitor and include in next email campaign,349.2
0.3418745,Low risk,0,100.05,22,Monitor and include in next email campaign,1200.6
0.3418164,Low risk,0,55.8,3,Monitor and include in next email campaign,669.6
0.34177014,Low risk,0,111.5,44,Monitor and include in next email campaign,1338.0
0.3414199,Low risk,1,71.05,50,Monitor and include in next email campaign,852.6
0.34124464,Low risk,1,40.65,24,Monitor and include in next email campaign,487.8
0.3408003,Low risk,0,75.6,18,Monitor and include in next email campaign,907.2
0.33997858,Low risk,1,89.15,25,Monitor and include in next email campaign,1069.8
0.3378851,Low risk,0,84.3,26,Monitor and include in next email campaign,1011.6
0.33687145,Low risk,0,48.95,6,Monitor and include in next email campaign,587.4
0.335672,Low risk,0,98.25,50,Monitor and include in next email campaign,1179.0
0.33438855,Low risk,0,103.5,63,Monitor and include in next email campaign,1242.0
0.33403668,Low risk,1,106.75,37,Monitor and include in next email campaign,1281.0
0.33383608,Low risk,0,105.2,69,Monitor and include in next email campaign,1262.4
0.33264118,Low risk,0,109.05,65,Monitor and include in next email campaign,1308.6
0.3303925,Low risk,0,74.25,41,Monitor and include in next email campaign,891.0
0.32787517,Low risk,0,19.75,1,Monitor and include in next email campaign,237.0
0.3273447,Low risk,0,78.85,40,Monitor and include in next email campaign,946.2
0.32677567,Low risk,0,100.75,57,Monitor and include in next email campaign,1209.0
0.3256087,Low risk,0,78.75,13,Monitor and include in next email campaign,945.0
0.3256057,Low risk,0,86.1,45,Monitor and include in next email campaign,1033.2
0.32395256,Low risk,0,68.55,8,Monitor and include in next email campaign,822.6
0.3224179,Low risk,1,31.0,3,Monitor and include in next email campaign,372.0
0.32225016,Low risk,0,69.1,16,Monitor and include in next email campaign,829.2
0.3214923,Low risk,1,19.8,1,Monitor and include in next email campaign,237.6
0.3214923,Low risk,0,19.75,1,Monitor and include in next email campaign,237.0
0.3214923,Low risk,1,19.75,1,Monitor and include in next email campaign,237.0
0.31966212,Low risk,0,89.05,22,Monitor and include in next email campaign,1068.6
0.31888145,Low risk,0,85.95,24,Monitor and include in next email campaign,1031.4
0.3178927,Low risk,0,48.65,5,Monitor and include in next email campaign,583.8
0.3171712,Low risk,1,79.2,40,Monitor and include in next email campaign,950.4
0.315367,Low risk,0,48.2,7,Monitor and include in next email campaign,578.4
0.31035867,Low risk,0,45.9,29,Monitor and include in next email campaign,550.8
0.3088897,Low risk,0,87.9,18,Monitor and include in next email campaign,1054.8
0.30777496,Low risk,0,44.8,4,Monitor and include in next email campaign,537.6
0.30696246,Low risk,0,81.3,41,Monitor and include in next email campaign,975.6
0.3067598,Low risk,0,25.15,19,Monitor and include in next email campaign,301.8
0.30626217,Low risk,1,49.9,1,Monitor and include in next email campaign,598.8
0.30620533,Low risk,0,35.65,11,Monitor and include in next email campaign,427.8
0.30530182,Low risk,0,99.0,42,Monitor and include in next email campaign,1188.0
0.3050905,Low risk,0,94.3,30,Monitor and include in next email campaign,1131.6
0.3043038,Low risk,0,100.55,56,Monitor and include in next email campaign,1206.6
0.30409655,Low risk,0,108.55,71,Monitor and include in next email campaign,1302.6
0.30183503,Low risk,1,111.1,54,Monitor and include in next email campaign,1333.2
0.3016201,Low risk,1,20.4,1,Monitor and include in next email campaign,244.8
0.3016201,Low risk,0,20.45,1,Monitor and include in next email campaign,245.4
0.3016201,Low risk,0,20.3,1,Monitor and include in next email campaign,243.6
0.3016201,Low risk,1,20.25,1,Monitor and include in next email campaign,243.0
0.30040658,Low risk,0,114.1,61,Monitor and include in next email campaign,1369.2
0.30040258,Low risk,1,19.4,1,Monitor and include in next email campaign,232.8
0.2986622,Low risk,0,55.3,9,Monitor and include in next email campaign,663.6
0.2972972,Low risk,1,39.1,24,Monitor and include in next email campaign,469.2
0.29664096,Low risk,0,50.8,4,Monitor and include in next email campaign,609.6
0.29642254,Low risk,1,56.7,2,Monitor and include in next email campaign,680.4
0.29481462,Low risk,0,20.75,1,Monitor and include in next email campaign,249.0
0.29377332,Low risk,0,48.8,15,Monitor and include in next email campaign,585.6
0.29336163,Low risk,1,53.85,5,Monitor and include in next email campaign,646.2
0.29315913,Low risk,0,69.7,22,Monitor and include in next email campaign,836.4
0.29253602,Low risk,0,75.3,23,Monitor and include in next email campaign,903.6
0.29198322,Low risk,0,100.55,43,Monitor and include in next email campaign,1206.6
0.29123506,Low risk,1,100.5,35,Monitor and include in next email campaign,1206.0
0.28968078,Low risk,1,106.25,65,Monitor and include in next email campaign,1275.0
0.2894674,Low risk,1,87.55,36,Monitor and include in next email campaign,1050.6
0.28941345,Low risk,0,69.8,20,Monitor and include in next email campaign,837.6
0.2889345,Low risk,1,85.0,46,Monitor and include in next email campaign,1020.0
0.28867397,Low risk,1,34.5,7,Monitor and include in next email campaign,414.0
0.2871849,Low risk,1,55.2,10,Monitor and include in next email campaign,662.4
0.2867284,Low risk,0,58.95,11,Monitor and include in next email campaign,707.4
0.28666246,Low risk,0,25.75,1,Monitor and include in next email campaign,309.0
0.28567415,Low risk,0,19.65,1,Monitor and include in next email campaign,235.8
0.28545377,Low risk,1,46.0,5,Monitor and include in next email campaign,552.0
0.28418678,Low risk,0,28.5,21,Monitor and include in next email campaign,342.0
0.2839566,Low risk,0,91.0,20,Monitor and include in next email campaign,1092.0
0.283848,Low risk,0,69.5,38,Monitor and include in next email campaign,834.0
0.2826568,Low risk,0,100.0,39,Monitor and include in next email campaign,1200.0
0.28204757,Low risk,0,54.25,10,Monitor and include in next email campaign,651.0
0.28180876,Low risk,1,89.05,25,Monitor and include in next email campaign,1068.6
0.28073654,Low risk,0,78.2,18,Monitor and include in next email campaign,938.4
0.27946115,Low risk,1,103.75,62,Monitor and include in next email campaign,1245.0
0.2777505,Low risk,0,88.8,19,Monitor and include in next email campaign,1065.6
0.2767054,Low risk,0,69.75,25,Monitor and include in next email campaign,837.0
0.27534255,Low risk,0,97.95,49,Monitor and include in next email campaign,1175.4
0.27351946,Low risk,0,110.35,65,Monitor and include in next email campaign,1324.2
0.27257803,Low risk,0,107.25,56,Monitor and include in next email campaign,1287.0
0.27220726,Low risk,0,64.5,3,Monitor and include in next email campaign,774.0
0.27220622,Low risk,0,67.25,12,Monitor and include in next email campaign,807.0
0.27182153,Low risk,0,44.65,26,Monitor and include in next email campaign,535.8
0.27064154,Low risk,0,89.15,46,Monitor and include in next email campaign,1069.8
0.2702977,Low risk,1,69.0,15,Monitor and include in next email campaign,828.0
0.2697763,Low risk,1,49.35,4,Monitor and include in next email campaign,592.2
0.26811406,Low risk,1,106.95,53,Monitor and include in next email campaign,1283.4
0.26730105,Low risk,0,99.1,39,Monitor and include in next email campaign,1189.2
0.26671845,Low risk,1,75.6,23,Monitor and include in next email campaign,907.2
0.26633164,Low risk,1,55.95,13,Monitor and include in next email campaign,671.4
0.26625553,Low risk,0,108.1,48,Monitor and include in next email campaign,1297.2
0.26327196,Low risk,0,105.7,67,Monitor and include in next email campaign,1268.4
0.2632145,Low risk,1,115.65,70,Monitor and include in next email campaign,1387.8
0.26304242,Low risk,0,105.75,40,Monitor and include in next email campaign,1269.0
0.26241073,Low risk,1,50.7,4,Monitor and include in next email campaign,608.4
0.26061374,Low risk,0,89.95,19,Monitor and include in next email campaign,1079.4
0.2600895,Low risk,0,29.15,1,Monitor and include in next email campaign,349.8
0.25949544,Low risk,0,85.5,55,Monitor and include in next email campaign,1026.0
0.2586281,Low risk,0,84.8,44,Monitor and include in next email campaign,1017.6
0.256575,Low risk,0,49.5,6,Monitor and include in next email campaign,594.0
0.25538492,Low risk,1,99.2,40,Monitor and include in next email campaign,1190.4
0.25458878,Low risk,0,56.3,12,Monitor and include in next email campaign,675.6
0.25307122,Low risk,1,108.15,32,Monitor and include in next email campaign,1297.8
0.25242716,Low risk,1,106.1,28,Monitor and include in next email campaign,1273.2
0.251471,Low risk,1,60.4,4,Monitor and include in next email campaign,724.8
